id,x1,x2,x3,x4,cat1,cat2,cat3,cat4,bin1,bin2,bin3,bin4,bin5,cls1,cls2,cls3,cls4
38,0.83,0.67,0.28,0.79,medium,low,low,low,false,false,false,false,false,0,1,1,1
39,0.30,0.40,0.40,0.48,low,low,low,low,false,false,true,false,false,1,1,1,1
40,0.21,0.82,0.27,0.83,medium,high,high,high,false,true,false,false,false,2,1,0,1
41,0.62,0.64,0.59,0.45,low,low,high,low,false,true,false,false,true,0,0,1,1
42,0.28,0.52,0.70,0.50,high,low,high,high,true,true,true,true,true,1,0,0,0
43,0.38,0.75,0.26,0.64,medium,low,medium,medium,false,false,false,true,true,1,1,1,1
44,0.23,0.74,0.44,0.76,high,low,low,low,false,true,false,false,false,2,1,1,1
45,0.16,0.54,0.51,0.40,medium,high,medium,medium,true,true,true,true,true,1,0,0,0
46,0.32,0.69,0.55,0.40,high,high,medium,medium,true,true,true,true,true,1,0,0,0
47,0.71,0.68,0.61,0.27,medium,high,high,high,true,false,true,true,true,0,0,0,0
48,0.22,0.71,0.32,0.83,medium,high,high,medium,false,false,true,false,true,2,1,0,1
49,0.27,0.61,0.56,0.41,high,low,high,high,true,true,true,true,true,1,0,0,0
50,0.24,0.76,0.36,0.84,low,high,medium,high,false,false,false,true,false,2,1,0,1
51,0.59,0.72,0.46,0.56,high,high,medium,medium,true,true,true,true,true,0,1,0,0
52,0.35,0.76,0.24,0.58,low,low,low,low,true,true,false,true,true,2,1,1,0
53,0.30,0.34,0.81,0.37,high,high,high,medium,true,true,true,true,true,1,0,0,0
54,0.72,0.53,0.37,0.65,high,medium,high,medium,false,false,true,false,true,0,1,0,1
55,0.27,0.36,0.55,0.47,low,low,low,low,false,false,false,false,false,1,0,1,1
56,0.27,0.86,0.82,0.54,low,low,medium,medium,false,false,false,false,false,2,0,1,1
57,0.25,0.59,0.64,0.43,low,low,low,low,false,true,true,true,true,1,0,1,0
58,0.32,0.82,0.71,0.45,medium,medium,high,high,true,true,true,true,true,2,0,0,0
59,0.79,0.61,0.42,0.55,high,high,medium,high,true,true,true,true,true,0,1,0,0
60,0.22,0.68,0.61,0.37,low,low,low,low,true,false,false,true,false,2,0,1,1
61,0.51,0.64,0.69,0.38,low,low,medium,low,false,false,false,false,false,0,0,1,1
62,0.27,0.57,0.55,0.48,low,low,low,medium,true,true,true,false,true,1,0,1,0
63,0.28,0.70,0.64,0.71,high,high,high,medium,false,true,true,true,false,2,0,0,0
64,0.27,0.74,0.43,0.69,high,medium,medium,high,true,false,true,true,true,2,1,0,0
65,0.33,0.39,0.61,0.30,low,medium,high,low,true,true,true,true,true,1,0,0,0
66,0.53,0.63,0.81,0.50,high,high,medium,high,true,false,false,false,false,0,0,0,1
67,0.39,0.61,0.66,0.30,low,low,low,low,true,true,true,true,true,1,0,1,0
68,0.28,0.26,0.25,0.68,low,low,low,low,true,true,true,true,true,1,1,1,0
69,0.22,0.58,0.46,0.77,low,medium,low,low,false,false,false,false,false,1,1,1,1
70,0.30,0.77,0.58,0.42,low,high,low,high,false,true,false,false,false,2,0,0,1
71,0.31,0.71,0.35,0.69,high,high,high,high,false,false,false,false,false,2,1,0,1
72,0.57,0.79,0.48,0.68,high,high,high,high,true,true,true,true,true,0,1,0,0
73,0.13,0.55,0.67,0.29,high,high,high,medium,true,true,true,true,true,1,0,0,0
74,0.59,0.69,0.77,0.43,low,low,low,low,false,true,false,false,false,0,0,1,1
75,0.25,0.49,0.34,0.84,high,high,high,high,true,false,false,false,false,1,1,0,1
76,0.19,0.69,0.57,0.81,high,high,medium,high,true,true,true,true,true,2,1,0,0
77,0.28,0.61,0.29,0.74,low,low,low,low,false,false,false,false,false,2,1,1,1
78,0.28,0.19,0.48,0.60,high,high,high,medium,false,true,false,false,false,1,1,0,1
79,0.42,0.76,0.41,0.75,low,medium,low,low,false,false,false,false,false,0,1,1,1
80,0.33,0.79,0.60,0.52,low,low,low,low,true,true,true,true,true,2,0,1,0
81,0.17,0.83,0.44,0.65,medium,low,low,low,false,true,true,true,false,2,1,1,0
82,0.24,0.71,0.45,0.82,low,low,low,low,true,true,true,true,true,1,1,1,0
83,0.80,0.57,0.44,0.44,low,low,low,high,false,false,true,false,false,0,0,1,1
84,0.19,0.79,0.42,0.66,low,high,high,high,true,true,true,true,true,2,1,0,0
85,0.26,0.60,0.30,0.76,high,high,high,high,true,true,true,true,true,1,1,0,0
86,0.69,0.78,0.66,0.45,low,low,low,medium,true,true,true,true,true,0,0,1,0
87,0.65,0.67,0.38,0.69,high,high,high,medium,true,true,true,true,true,0,1,0,0
88,0.26,0.52,0.44,0.62,high,high,high,high,true,false,true,true,false,1,1,0,1
89,0.68,0.70,0.67,0.43,high,high,high,low,false,true,true,true,true,0,0,0,0
90,0.31,0.81,0.27,0.73,low,high,low,low,true,true,false,true,true,2,1,1,0
91,0.31,0.72,0.27,0.56,low,low,low,low,true,true,true,true,true,2,1,1,0
92,0.20,0.74,0.34,0.76,medium,high,high,high,true,true,true,true,true,1,1,0,0
93,0.60,0.72,0.76,0.45,low,low,low,low,false,false,false,false,false,0,0,1,1
94,0.26,0.84,0.87,0.38,low,low,medium,low,false,false,false,false,false,2,0,1,1
95,0.71,0.64,0.41,0.60,low,medium,low,low,false,true,true,true,true,0,1,1,0
96,0.30,0.82,0.48,0.74,low,low,low,low,true,true,true,true,true,2,1,1,0
97,0.33,0.71,0.44,0.61,low,low,low,medium,false,false,false,false,false,2,1,1,1
98,0.29,0.53,0.61,0.19,low,low,low,high,true,true,true,true,true,1,0,1,0
99,0.20,0.35,0.79,0.29,low,low,low,low,false,false,true,false,false,1,0,1,1
100,0.61,0.71,0.44,0.77,medium,low,high,low,true,true,false,true,true,0,1,1,0
101,0.22,0.49,0.65,0.24,high,high,medium,high,false,false,false,true,true,1,0,0,1
102,0.29,0.72,0.70,0.44,medium,high,medium,high,false,false,true,false,false,2,0,0,1
103,0.75,0.59,0.53,0.73,medium,low,low,low,true,true,true,true,true,0,1,1,0
104,0.22,0.43,0.53,0.46,low,low,low,low,false,true,false,false,false,1,0,1,1
105,0.28,0.73,0.27,0.58,low,high,high,high,true,true,true,true,true,2,1,0,0
106,0.33,0.37,0.77,0.47,high,low,high,high,false,false,false,false,true,1,0,0,1
107,0.16,0.56,0.47,0.78,high,medium,low,high,true,true,true,true,true,1,1,0,0
108,0.45,0.79,0.78,0.17,low,high,low,low,true,true,true,false,true,0,0,1,0
109,0.64,0.68,0.21,0.71,high,medium,medium,high,true,true,false,true,true,0,1,0,0
110,0.68,0.66,0.24,0.79,low,low,low,low,true,true,true,true,false,0,1,1,0
111,0.27,0.90,0.32,0.55,high,medium,medium,high,true,false,true,true,true,2,1,0,0
112,0.74,0.57,0.76,0.27,low,medium,low,low,false,false,false,false,false,0,0,1,1
113,0.81,0.63,0.67,0.42,low,medium,low,low,false,false,true,true,true,0,0,1,1
114,0.20,0.31,0.76,0.45,medium,low,low,low,false,true,false,false,true,1,0,1,1
115,0.22,0.65,0.36,0.73,low,low,low,medium,false,false,false,false,false,1,1,1,1
116,0.61,0.75,0.55,0.52,low,high,high,low,false,true,false,false,false,0,0,1,1
117,0.31,0.42,0.43,0.70,high,high,medium,medium,false,false,false,false,false,1,1,0,1
118,0.31,0.70,0.38,0.71,high,high,medium,high,false,false,false,false,true,1,1,0,1
119,0.71,0.62,0.60,0.38,low,medium,high,high,false,false,true,false,false,0,0,0,1
120,0.33,0.44,0.47,0.70,high,medium,high,high,false,false,false,false,false,1,1,0,1
121,0.31,0.70,0.25,0.70,high,high,low,medium,false,false,false,false,false,2,1,0,1
122,0.27,0.57,0.39,0.89,medium,low,medium,high,true,false,true,true,false,1,1,0,0
123,0.21,0.27,0.68,0.35,low,low,low,low,false,false,false,false,false,1,0,1,1
124,0.65,0.74,0.44,0.68,high,high,low,high,false,true,true,false,false,0,1,0,0
125,0.25,0.73,0.75,0.39,medium,low,low,low,false,false,false,false,false,2,0,0,1
126,0.26,0.70,0.68,0.32,high,low,medium,high,false,false,false,false,true,2,0,0,1
127,0.27,0.59,0.63,0.34,high,high,high,medium,true,true,true,true,true,1,0,0,0
128,0.52,0.65,0.68,0.36,high,high,high,high,false,true,true,false,true,0,0,0,0
129,0.35,0.52,0.19,0.55,medium,high,high,low,false,true,true,true,true,1,1,0,0
130,0.52,0.79,0.35,0.68,high,high,medium,high,true,true,true,true,true,0,1,0,0
131,0.71,0.65,0.36,0.70,low,medium,low,low,true,true,true,true,true,0,1,1,0
132,0.55,0.76,0.43,0.58,medium,medium,medium,high,true,true,true,true,true,0,1,0,0
133,0.23,0.78,0.52,0.55,low,medium,low,low,false,false,false,false,false,2,1,1,1
134,0.27,0.82,0.44,0.48,high,high,medium,high,true,true,true,false,true,2,1,0,0
135,0.33,0.64,0.72,0.36,medium,medium,high,high,true,false,true,true,true,1,0,0,0
136,0.21,0.59,0.43,0.71,low,low,low,medium,true,true,true,true,true,1,1,1,0
137,0.28,0.93,0.69,0.57,high,high,high,high,true,false,false,true,false,2,0,0,1
138,0.21,0.27,0.37,0.62,low,low,low,medium,false,false,false,false,false,1,1,1,1
139,0.32,0.77,0.78,0.43,low,low,low,low,false,false,false,false,false,2,0,1,1
140,0.25,0.75,0.62,0.31,low,low,low,low,false,false,false,true,true,2,0,1,1
141,0.49,0.83,0.37,0.55,low,low,low,low,true,true,false,true,true,0,1,1,0
142,0.31,0.46,0.53,0.67,low,low,low,medium,true,true,true,true,true,1,1,1,0
143,0.29,0.57,0.76,0.34,medium,high,high,high,true,true,true,true,true,1,0,0,0
144,0.15,0.71,0.41,0.72,low,low,medium,low,false,false,false,false,false,2,1,1,1
145,0.24,0.62,0.33,0.91,medium,low,high,high,false,false,false,false,false,1,1,0,1
146,0.58,0.80,0.66,0.43,low,low,low,high,false,false,false,false,false,0,0,1,1
147,0.18,0.81,0.31,0.71,high,medium,high,medium,false,false,false,false,false,2,1,0,1
148,0.23,0.69,0.74,0.49,low,high,low,low,true,false,false,false,false,2,0,1,1
149,0.66,0.92,0.69,0.46,low,low,low,low,true,true,true,true,true,0,0,1,0
150,0.33,0.34,0.64,0.20,high,medium,high,high,false,false,true,false,false,1,0,0,1
151,0.39,0.88,0.32,0.57,high,low,low,low,true,true,true,true,true,2,1,1,0
152,0.37,0.81,0.39,0.74,low,low,low,low,false,false,false,true,false,2,1,1,1
153,0.59,0.81,0.32,0.71,low,low,medium,medium,false,false,true,true,false,0,1,1,0
154,0.26,0.46,0.59,0.50,high,high,high,medium,false,false,true,false,true,1,0,0,1
155,0.24,0.59,0.48,0.58,medium,low,low,low,false,false,false,true,false,1,0,1,1
156,0.31,0.73,0.41,0.25,low,low,medium,medium,true,true,true,true,true,1,0,1,0
157,0.52,0.71,0.62,0.37,high,medium,medium,high,false,false,true,false,false,0,0,0,1
158,0.28,0.71,0.68,0.49,high,high,medium,high,true,false,false,false,true,2,0,0,1
159,0.26,0.46,0.37,0.88,low,low,medium,low,true,true,true,true,true,1,1,1,0
160,0.27,0.75,0.70,0.37,high,high,medium,medium,true,true,true,false,true,2,0,0,0
161,0.49,0.57,0.42,0.74,high,high,high,medium,true,true,true,true,true,0,1,0,0
162,0.18,0.80,0.63,0.27,low,low,low,low,true,true,true,true,true,2,0,1,0
163,0.58,0.63,0.29,0.70,medium,low,medium,medium,true,true,true,true,true,0,1,0,0
164,0.29,0.63,0.26,0.56,low,low,low,high,true,true,false,false,false,1,1,1,1
165,0.22,0.40,0.34,0.67,medium,medium,high,medium,false,false,false,false,false,1,1,0,1
166,0.17,0.80,0.47,0.75,high,high,low,high,true,false,false,false,false,2,1,0,1
167,0.75,0.76,0.49,0.52,low,low,low,medium,false,false,false,false,false,0,1,1,1
168,0.49,0.73,0.37,0.68,medium,low,low,medium,true,true,true,true,false,0,1,1,0
169,0.36,0.37,0.67,0.48,low,high,high,high,true,true,true,true,true,1,0,0,0
170,0.66,0.57,0.47,0.70,high,low,medium,high,false,false,true,false,false,0,1,0,1
171,0.57,0.70,0.33,0.73,high,medium,high,high,false,false,false,false,false,0,1,0,1
172,0.15,0.55,0.60,0.41,low,low,low,medium,false,false,false,false,false,1,0,1,1
173,0.26,0.83,0.73,0.37,high,medium,medium,medium,false,false,false,false,false,2,0,0,1
174,0.21,0.82,0.60,0.48,low,low,low,low,true,false,true,false,false,2,0,1,1
175,0.21,0.56,0.61,0.39,medium,low,low,low,false,false,false,false,true,1,0,1,1
176,0.29,0.63,0.43,0.68,high,high,high,high,false,false,false,false,false,1,1,0,1
177,0.36,0.56,0.53,0.61,high,low,high,high,false,false,false,false,false,1,1,0,1
178,0.18,0.69,0.39,0.77,low,high,low,low,false,false,true,false,false,1,1,1,1
179,0.20,0.78,0.45,0.26,low,low,low,low,false,false,false,false,false,2,0,1,1
180,0.36,0.46,0.54,0.33,high,high,high,high,false,false,false,true,false,1,0,0,1
181,0.56,0.62,0.69,0.47,low,low,low,low,true,false,true,true,true,0,0,1,0
182,0.53,0.68,0.45,0.63,high,low,medium,medium,true,true,true,true,true,0,1,0,0
183,0.66,0.72,0.59,0.47,medium,low,low,low,true,true,true,true,true,0,0,1,0
184,0.27,0.73,0.54,0.62,low,low,low,low,false,false,false,false,false,2,1,1,1
185,0.24,0.77,0.63,0.59,medium,medium,medium,high,true,true,true,true,true,2,0,0,0
186,0.22,0.40,0.37,0.62,high,high,high,high,true,true,true,true,true,1,1,0,0
187,0.27,0.76,0.75,0.38,low,low,low,low,false,false,false,true,true,2,0,1,1
188,0.17,0.54,0.68,0.43,high,high,medium,high,true,false,false,false,true,1,0,0,1
189,0.39,0.77,0.71,0.37,low,low,low,high,false,false,false,false,false,2,0,1,1
190,0.52,0.70,0.53,0.49,low,low,low,low,false,true,false,false,false,0,0,1,1
191,0.29,0.54,0.32,0.55,high,high,medium,high,true,true,true,true,true,1,1,0,0
192,0.56,0.61,0.28,0.67,high,high,medium,high,true,true,false,false,true,0,1,0,0
193,0.33,0.78,0.70,0.61,low,high,medium,high,false,true,false,false,false,2,0,0,1
194,0.78,0.60,0.43,0.86,medium,low,low,low,false,false,false,false,false,0,1,1,1
195,0.51,0.72,0.56,0.32,high,high,low,high,false,false,false,false,false,0,0,0,1
196,0.38,0.73,0.62,0.54,medium,high,high,low,true,true,true,true,true,2,0,0,0
197,0.63,0.72,0.70,0.37,medium,low,medium,low,false,false,false,false,false,0,0,1,1
198,0.68,0.68,0.30,0.67,high,high,low,high,true,false,true,true,true,0,1,0,0
199,0.63,0.75,0.42,0.45,high,high,high,high,true,true,true,true,true,0,0,0,0
200,0.16,0.44,0.20,0.59,low,high,high,high,false,false,false,false,true,1,1,0,1
201,0.71,0.70,0.74,0.34,high,high,medium,high,false,true,false,true,true,0,0,0,0
202,0.70,0.66,0.43,0.66,low,low,low,medium,true,true,true,true,true,0,1,1,0
203,0.73,0.58,0.42,0.80,low,low,high,low,true,false,true,true,true,0,1,1,0
204,0.37,0.48,0.23,0.83,medium,low,medium,low,true,false,true,true,true,1,1,1,0
205,0.74,0.71,0.28,0.80,high,low,high,high,false,false,false,false,false,0,1,0,1
206,0.30,0.68,0.43,0.43,low,low,medium,medium,false,true,false,true,false,2,0,1,1
207,0.60,0.74,0.38,0.68,low,low,low,low,false,false,false,false,false,0,1,1,1
208,0.59,0.68,0.62,0.48,medium,high,low,high,false,false,false,false,false,0,0,0,1
209,0.24,0.51,0.50,0.83,high,high,low,medium,false,false,true,true,true,1,1,0,1
210,0.28,0.43,0.61,0.44,high,low,high,high,true,false,false,false,false,1,0,0,1
211,0.25,0.52,0.23,0.67,medium,low,high,high,true,true,false,true,true,1,1,0,0
212,0.29,0.84,0.72,0.34,high,medium,medium,high,true,false,true,true,true,2,0,0,0
213,0.24,0.54,0.29,0.62,low,low,low,low,true,true,true,true,true,1,1,1,0
214,0.82,0.78,0.66,0.49,low,low,low,medium,false,false,true,false,true,0,0,1,1
215,0.25,0.81,0.46,0.69,low,low,low,medium,true,false,false,false,false,1,1,1,1
216,0.48,0.83,0.71,0.40,low,low,low,low,true,true,true,true,true,0,0,1,0
217,0.27,0.52,0.39,0.69,medium,high,high,high,true,true,true,true,true,1,1,0,0
218,0.32,0.82,0.51,0.41,high,high,high,medium,false,false,false,false,false,2,0,0,1
219,0.22,0.77,0.49,0.32,low,low,low,low,false,true,false,false,false,2,0,1,1
220,0.52,0.70,0.50,0.37,low,high,medium,high,false,false,false,true,false,0,0,0,1
221,0.49,0.71,0.64,0.63,high,high,high,high,false,true,true,true,true,0,0,0,0
222,0.62,0.87,0.66,0.43,high,medium,high,high,false,false,false,false,false,0,0,0,1
223,0.25,0.43,0.59,0.54,medium,low,low,low,false,false,false,true,false,1,0,1,1
224,0.20,0.80,0.68,0.44,high,high,medium,high,false,false,false,false,false,2,0,0,1
225,0.32,0.42,0.71,0.20,high,medium,high,high,true,true,true,true,true,1,0,0,0
226,0.24,0.71,0.28,0.65,low,low,medium,low,false,false,false,false,false,2,1,1,1
227,0.30,0.63,0.36,0.79,high,high,high,high,false,false,false,false,true,1,1,0,1
228,0.24,0.70,0.71,0.48,low,low,medium,low,true,false,false,false,false,2,0,1,1
229,0.32,0.88,0.32,0.65,low,medium,low,low,true,true,true,true,true,2,1,1,0
230,0.33,0.73,0.46,0.53,medium,high,low,high,true,false,false,false,false,2,0,0,1
231,0.31,0.60,0.41,0.68,medium,high,high,high,true,true,true,true,false,1,1,0,0
232,0.33,0.46,0.36,0.86,low,low,low,low,true,true,true,true,true,1,1,1,0
233,0.25,0.50,0.43,0.60,high,high,low,high,true,true,true,true,true,1,1,0,0
234,0.61,0.79,0.79,0.44,high,high,high,high,false,false,false,false,true,0,0,0,1
235,0.27,0.77,0.46,0.63,low,low,low,low,true,false,true,true,true,2,1,1,0
236,0.30,0.71,0.72,0.46,high,medium,high,high,false,false,true,false,true,2,0,0,1
237,0.18,0.33,0.83,0.27,medium,high,high,high,false,false,false,false,false,1,0,0,1
238,0.29,0.82,0.34,0.84,low,low,low,low,true,false,false,false,false,2,1,1,1
239,0.27,0.81,0.45,0.45,high,high,high,high,false,false,false,false,false,2,0,0,1
240,0.25,0.91,0.54,0.53,high,low,high,low,false,false,false,false,false,2,0,0,1
241,0.69,0.76,0.35,0.77,low,low,low,medium,false,false,false,false,false,0,1,1,1
242,0.85,0.71,0.38,0.72,medium,medium,low,low,true,true,true,true,true,0,1,1,0
243,0.24,0.84,0.86,0.40,medium,low,high,low,false,true,false,true,false,2,0,1,1
244,0.52,0.58,0.81,0.45,medium,medium,medium,low,true,true,true,true,true,0,0,1,0
245,0.27,0.87,0.36,0.68,high,medium,high,high,true,true,true,true,true,2,1,0,0
246,0.28,0.76,0.72,0.41,low,low,medium,low,true,true,true,true,true,2,0,1,0
247,0.27,0.72,0.44,0.42,low,low,low,medium,true,true,false,true,true,2,0,1,0
248,0.21,0.43,0.63,0.28,high,high,high,high,true,true,true,true,false,1,0,0,0
249,0.55,0.75,0.80,0.28,high,medium,medium,high,false,true,true,false,true,0,0,0,0
250,0.34,0.75,0.65,0.39,medium,high,high,medium,false,false,false,false,true,2,0,0,1
251,0.35,0.77,0.33,0.69,low,low,low,low,true,true,true,true,true,2,1,1,0
252,0.71,0.60,0.78,0.49,low,low,low,low,true,true,true,true,true,0,0,1,0
253,0.78,0.81,0.59,0.39,medium,high,high,high,false,false,false,false,false,0,0,0,1
254,0.70,0.58,0.41,0.61,medium,low,low,low,false,false,false,false,false,0,1,1,1
255,0.25,0.77,0.47,0.27,medium,high,medium,high,true,false,false,false,false,2,0,0,1
256,0.43,0.50,0.33,0.54,low,low,low,low,true,true,true,true,true,1,1,1,0
257,0.20,0.80,0.63,0.55,low,low,low,low,false,false,false,false,false,2,0,1,1
258,0.31,0.83,0.72,0.19,high,low,low,low,true,true,true,false,false,2,0,1,0
259,0.27,0.81,0.35,0.74,high,high,low,medium,true,true,true,true,true,2,1,0,0
260,0.23,0.59,0.66,0.30,high,high,high,high,false,false,false,false,false,1,0,0,1
261,0.31,0.43,0.34,0.69,high,low,low,low,true,true,true,true,true,1,1,1,0
262,0.24,0.47,0.32,0.81,low,low,low,low,false,true,true,true,true,1,1,1,0
263,0.34,0.78,0.44,0.70,medium,high,low,low,false,false,false,true,true,1,1,1,1
264,0.60,0.78,0.63,0.47,high,high,high,medium,true,true,true,true,true,0,0,0,0
265,0.33,0.77,0.58,0.42,low,low,low,low,true,true,true,true,true,2,0,1,0
266,0.56,0.75,0.48,0.81,low,high,high,high,false,false,false,false,false,0,1,0,1
267,0.52,0.59,0.41,0.65,medium,high,high,high,true,true,true,true,true,0,1,0,0
268,0.62,0.79,0.29,0.66,low,medium,medium,high,false,false,true,false,false,0,1,1,1
269,0.69,0.80,0.44,0.74,medium,low,low,high,false,false,false,false,false,0,1,1,1
270,0.83,0.71,0.40,0.59,high,medium,low,medium,false,false,false,false,true,0,1,0,1
271,0.62,0.79,0.70,0.63,low,low,low,low,false,true,true,false,true,0,0,1,0
272,0.49,0.76,0.32,0.86,low,low,low,low,true,true,true,true,true,0,1,1,0
273,0.55,0.54,0.26,0.76,low,low,medium,high,false,true,true,true,true,0,1,0,0
274,0.16,0.71,0.28,0.65,medium,high,medium,high,true,true,true,true,true,2,1,0,0
275,0.24,0.73,0.44,0.64,low,high,low,low,false,false,false,false,false,2,1,1,1
276,0.34,0.47,0.41,0.66,low,high,high,high,true,true,true,true,true,1,1,0,0
277,0.75,0.67,0.56,0.49,low,low,low,low,false,false,false,true,false,0,0,1,1
278,0.22,0.78,0.48,0.79,medium,medium,low,high,false,true,false,false,false,2,1,1,1
279,0.24,0.55,0.44,0.71,high,high,high,medium,true,true,true,true,true,1,1,0,0
280,0.31,0.69,0.34,0.71,high,high,high,high,false,false,false,false,false,2,1,0,1
281,0.23,0.37,0.22,0.68,medium,low,low,low,true,true,true,true,true,1,1,1,0
282,0.39,0.67,0.56,0.75,high,high,high,high,false,false,false,false,false,0,1,0,1
283,0.13,0.36,0.47,0.43,low,low,low,low,false,true,true,false,true,1,0,1,1
284,0.25,0.65,0.45,0.67,high,low,medium,low,false,false,false,false,false,1,1,0,1
285,0.18,0.24,0.27,0.67,low,low,medium,low,false,true,false,false,false,1,1,1,1
286,0.20,0.40,0.75,0.47,medium,low,low,medium,false,true,false,false,true,1,0,1,1
287,0.35,0.49,0.23,0.79,low,low,low,low,true,true,true,false,false,1,1,1,0
288,0.31,0.60,0.63,0.41,medium,low,low,low,true,true,true,true,true,1,0,1,0
289,0.26,0.50,0.56,0.63,low,low,low,low,false,false,false,false,false,1,0,1,1
290,0.23,0.41,0.45,0.62,low,low,low,low,true,true,true,true,true,1,1,1,0
291,0.29,0.52,0.35,0.58,high,high,medium,high,true,true,true,true,true,1,1,0,0
292,0.45,0.64,0.42,0.63,low,medium,low,low,false,false,true,true,false,0,1,1,1
293,0.62,0.85,0.43,0.76,medium,high,high,low,true,true,true,true,false,0,1,0,0
294,0.37,0.51,0.52,0.43,high,medium,high,high,false,false,false,false,true,1,0,0,1
295,0.68,0.69,0.27,0.72,low,low,low,medium,false,true,false,false,false,0,1,1,1
296,0.74,0.65,0.69,0.42,high,high,medium,high,false,false,true,true,false,0,0,0,1
297,0.27,0.72,0.74,0.30,medium,medium,low,high,true,true,true,true,true,2,0,0,0
298,0.22,0.73,0.51,0.58,low,low,low,low,true,true,true,true,true,2,1,1,0
299,0.29,0.73,0.52,0.48,high,high,medium,high,true,true,false,true,true,2,0,0,0
